Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.692745    1464 server.go:1448] "Using cgroup driver setting received from the CRI runtime" cgroupDriver="systemd"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.698658    1464 server.go:869] "NoSwap is set due to memorySwapBehavior not specified" memorySwapBehavior="" FailSwapOn=false
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.699062    1464 container_manager_linux.go:273] "Container manager verified user specified cgroup-root exists" cgroupRoot=["kubelet"]
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.699113    1464 container_manager_linux.go:278] "Creating Container Manager object based on Node Config" nodeConfig={"NodeName":"gcp-cluster-control-plane","RuntimeCgroupsName":"/system.slice/containerd.service","SystemCgroupsName":"","KubeletCgroupsName":"","KubeletOOMScoreAdj":-999,"ContainerRuntime":"","CgroupsPerQOS":true,"CgroupRoot":"/kubelet","CgroupDriver":"systemd","KubeletRootDir":"/var/lib/kubelet","ProtectKernelDefaults":false,"KubeReservedCgroupName":"","SystemReservedCgroupName":"","ReservedSystemCPUs":{},"EnforceNodeAllocatable":{"pods":{}},"KubeReserved":null,"SystemReserved":null,"HardEvictionThresholds":[],"QOSReserved":{},"CPUManagerPolicy":"none","CPUManagerPolicyOptions":null,"TopologyManagerScope":"container","CPUManagerReconcilePeriod":10000000000,"MemoryManagerPolicy":"None","MemoryManagerReservedMemory":null,"MemoryReservationPolicy":"None","PodPidsLimit":-1,"EnforceCPULimits":true,"CPUCFSQuotaPeriod":100000000,"TopologyManagerPolicy":"none","TopologyManagerPolicyOptions":null,"CgroupVersion":2}
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.699312    1464 topology_manager.go:172] "Creating topology manager with none policy"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.699324    1464 container_manager_linux.go:309] "Creating device plugin manager"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.699360    1464 container_manager_linux.go:318] "Creating Dynamic Resource Allocation (DRA) manager"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.699583    1464 state_mem.go:45] "Initialized" logger="CPUManager state memory"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.699825    1464 kubelet.go:485] "Attempting to sync node with API server"
Jul 16 18:36:57 gcp-cluster-control-plane kubelet[1464]: I0716 18:36:57.699858    1464 kubelet.go:386] "Adding static pod path" path="/etc/kubernetes/manifests"
